2020-06-23 09:38:19.751 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:C:\Users\917110140\nacos\config
2020-06-23 09:38:19.791 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2020-06-23 09:38:19.841 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-app-yj-ui.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-app-yj-ui,DEFAULT_GROUP'}]
2020-06-23 09:38:19.970 [main] INFO  com.yj.UIApplicaton - No active profile set, falling back to default profiles: default
2020-06-23 09:38:21.116 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=e14b49b0-b3fc-376b-a798-bbb113d37be2
2020-06-23 09:38:21.375 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.yj.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$b03a69f3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-23 09:38:21.403 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'default.com.yj.UIApplicaton.FeignClientSpecification' of type [org.springframework.cloud.openfeign.FeignClientSpecification] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-23 09:38:21.410 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'app-yj-member.FeignClientSpecification' of type [org.springframework.cloud.openfeign.FeignClientSpecification] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-23 09:38:21.411 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'app-yj-core.FeignClientSpecification' of type [org.springframework.cloud.openfeign.FeignClientSpecification] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-23 09:38:21.413 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.openfeign.FeignAutoConfiguration' of type [org.springframework.cloud.openfeign.FeignAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-23 09:38:21.417 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'feignContext' of type [org.springframework.cloud.openfeign.FeignContext] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
